id,ra_deg,dec_deg,kind,service_s,reward
SN1995al_1,147.74368,33.557757,science,600,1
SN1995al_2,147.816102,33.579977,science,600,1
SN1995al_3,147.681405,33.616425,science,600,1
BD+60261,23.13631237,61.12938383,science,45,1
HD13268,32.87375327,56.1587995,science,30,1
HD14434,35.46838112,56.90499529,science,40,1
HD149382,248.5971946,-4.014478507,science,50,1
HD15642,38.23492013,55.32750235,science,40,1
HD157857,261.5721593,-10.99299353,science,20,1
HD161961,267.1535503,-2.196189231,science,20,1
HD163800,269.7385765,-22.51755326,science,10,1
HD167411,273.9822811,-18.24085993,science,20,1
HD18409,45.1237971,62.72197575,science,35,1
HD186980,296.5662358,32.1161228,science,15,1
HD189957,300.2499926,42.00854525,science,20,1
HD190864,301.4158261,35.60774586,science,20,1
HD191423,302.029607,42.6060851,science,25,1
HD192639,303.6267588,37.35383415,science,12,1
HD193682,305.0372085,37.83088241,science,35,1
HD207538,326.9157737,59.70036336,science,12,1
HD215733,341.7604249,17.23297905,science,12,1
HD218915,347.7789347,53.05821235,science,12,1
HD225146,0.989586351,61.10362881,science,43,1
HD41997,92.23259015,15.70500665,science,60,1
HD97991,169.0489314,-3.471880491,science,15,1
FEIGE110,349.9933333,-5.165602778,standard,300,1
G191B2B,76.377575,52.83108889,standard,300,1
GD71,88.11508333,15.88700833,standard,600,1
LTT1020,28.70945833,-27.47659444,standard,300,1
LTT1788,57.09422083,-39.14361389,standard,600,1
LTT2415,89.10309167,-27.85898889,standard,300,1
LTT3864,158.0567458,-35.62825278,standard,300,1
LTT6248,234.7485333,-28.59360278,standard,300,1
LTT9239,343.1709792,-20.5925,standard,300,1
LTT9491,349.89745,-17.09124167,standard,600,1